"","q33","q35","q36","q37","q44","q61","q139","se2","se3_1","se3_2","se4","se5","se5a","se6","se7","se7a"
"296",2,1,2,2,3,2,2,2,1983,34,2,3,6,40,1,2
"297",1,2,2,2,3,3,2,1,1965,52,2,7,12,40,2,3
"298",1,8,2,8,3,2,2,2,1996,21,1,6,15,40,3,1
"299",1,1,2,2,3,2,3,1,1988,29,2,7,12,40,1,2
"300",1,2,2,2,3,2,3,2,1960,57,2,2,2,40,1,2
"301",1,2,1,1,2,1,2,1,1983,34,2,6,12,40,1,2
"302",1,2,2,2,4,2,2,2,1979,38,2,5,9,40,1,1
"303",1,2,2,2,2,2,3,1,1967,50,2,5,9,40,1,2
"304",1,2,1,2,3,3,3,2,1985,32,2,5,12,40,1,1
"305",1,2,2,2,3,1,2,1,1977,40,2,5,12,40,1,2
"306",2,2,2,2,2,1,3,2,1987,30,1,9,17,40,1,2
"307",1,2,2,2,3,2,2,1,1976,41,2,3,6,40,1,2
"308",1,2,2,2,3,2,2,2,1980,37,2,5,9,40,1,1
"309",1,1,2,2,3,1,3,1,1976,41,2,5,9,40,1,1
"310",1,2,2,2,3,2,3,2,1977,40,2,7,12,40,1,1
"311",1,2,2,2,3,1,4,1,1970,47,2,7,12,50,1,1
"312",1,2,2,2,3,1,1,2,1987,30,2,6,12,50,3,2
"313",1,2,2,2,2,2,3,1,1968,49,2,7,12,40,7,1
"314",1,2,2,2,2,2,2,2,1990,27,2,5,9,40,1,1
"315",1,2,2,2,4,1,3,1,1973,44,2,4,7,50,2,1
"316",1,2,2,2,3,3,3,2,1974,43,2,7,12,50,2,2
"317",1,2,2,2,3,2,3,1,1967,50,2,9,13,50,2,2
"318",1,2,2,2,4,8,2,2,1978,39,2,7,12,50,1,2
"319",1,2,1,2,3,2,3,1,1979,38,2,10,23,50,2,2
"320",1,1,1,1,3,1,2,2,1978,39,2,7,12,50,3,1
"321",1,1,2,1,3,2,3,1,1974,43,2,5,9,40,1,1
"322",1,2,2,2,3,2,8,2,1948,69,2,1,-1,40,1,1
"323",1,2,2,2,2,3,3,1,1971,46,1,5,9,40,1,1
"324",1,2,1,2,2,2,2,2,1973,44,2,2,2,40,1,1
"325",1,2,2,2,3,3,2,1,1945,72,2,3,6,40,1,1
"326",1,2,2,2,8,2,3,2,1961,56,2,2,2,40,1,1
"327",1,2,2,2,3,2,3,1,1975,42,2,4,8,40,1,1
"328",1,2,2,2,3,3,3,2,1983,34,2,5,9,40,3,3
"329",1,2,1,2,3,2,2,1,1980,37,2,3,6,40,1,1
"330",1,1,2,2,3,2,3,2,1965,52,2,3,6,40,1,1
"331",1,2,1,2,2,2,3,1,1944,73,2,7,12,40,2,2
"332",1,2,2,2,4,1,3,2,1963,54,2,7,12,40,1,1
"333",1,1,1,1,2,2,3,1,1966,51,2,7,12,40,1,1
"334",1,1,1,1,2,3,2,2,1956,61,2,7,12,40,1,2
"335",1,1,1,2,3,2,1,1,1972,45,2,7,12,40,1,2
"336",1,1,2,2,4,2,3,2,1979,38,2,3,6,40,1,2
"337",1,2,2,2,2,2,2,1,1989,28,2,5,9,40,3,2
"338",1,2,2,2,3,2,2,2,1978,39,2,7,12,40,1,2
"339",1,2,2,2,3,1,2,1,1963,54,2,4,7,40,1,2
"340",1,1,2,2,3,2,2,2,1974,43,2,5,9,40,1,1
"341",1,2,2,2,3,2,3,1,1962,55,2,9,16,40,1,2
"342",1,2,2,2,2,2,3,2,1983,34,2,7,12,40,1,2
"343",1,2,2,2,3,2,3,1,1955,62,2,7,12,40,1,1
"344",1,1,1,2,3,2,2,2,1959,58,2,9,16,40,1,2
"345",1,2,2,2,2,2,2,1,1952,65,2,2,4,40,2,2
"346",1,2,2,2,4,2,3,2,1957,60,2,5,9,40,1,2
"347",1,2,2,2,4,2,2,1,1960,57,2,2,3,40,1,1
"348",1,1,2,2,3,3,2,2,1983,34,2,5,9,40,1,3
"349",1,2,2,1,2,2,3,1,1969,48,2,9,16,40,1,1
"350",1,2,2,2,3,2,2,2,1977,40,2,6,12,40,1,2
"351",2,1,2,2,3,3,3,1,1987,30,1,7,12,40,1,2
"352",1,2,2,2,4,4,3,2,1973,44,2,7,12,40,1,2
"353",2,2,2,2,3,1,2,1,1998,19,1,6,11,40,1,2
"354",1,2,2,2,2,2,3,2,1979,38,2,5,9,40,1,1
"355",1,2,2,2,4,8,8,1,1955,62,4,2,2,40,1,1
"356",1,2,2,2,8,3,2,2,1952,65,4,2,4,40,1,2
"357",1,1,1,1,2,9,3,1,1966,51,2,7,12,40,1,1
"358",1,2,2,2,4,2,8,2,1968,49,2,5,9,40,1,1
"359",1,2,1,1,2,1,8,1,1978,39,2,5,6,40,1,1
"360",1,2,2,2,4,1,2,2,1977,40,2,9,15,40,1,1
"361",1,1,1,2,2,1,3,1,1973,44,2,7,12,40,1,2
"362",1,2,1,1,2,2,2,2,1972,45,2,7,12,40,1,1
"363",2,2,2,2,3,1,2,1,1971,46,2,8,15,40,2,3
"364",1,2,2,2,2,3,3,2,1979,38,2,9,15,20,2,2
"365",1,2,2,2,2,1,2,1,1959,58,2,6,9,10,3,1
"366",1,2,2,2,3,2,2,2,1981,36,2,7,12,40,1,2
"367",1,2,2,2,1,3,3,1,1984,33,2,9,16,20,2,2
"368",1,2,2,2,3,2,1,2,1997,20,1,7,12,40,1,2
"369",1,2,2,2,2,2,2,1,1967,50,1,9,16,40,1,2
"370",1,1,2,2,3,2,2,2,1960,57,2,2,5,40,1,2
"371",1,2,2,2,3,3,3,1,1971,46,2,9,16,20,1,1
"372",1,2,1,1,4,2,2,2,1969,48,2,3,6,40,1,1
"373",1,1,2,1,4,1,3,1,1964,53,2,5,9,40,1,1
"374",1,2,2,2,4,2,3,2,1964,53,2,2,2,40,1,2
"375",1,2,2,2,3,3,3,1,1983,34,2,7,12,40,1,2
"376",1,2,2,1,2,1,3,2,1966,51,4,7,12,40,1,2
"377",1,2,2,2,3,8,3,1,1972,45,2,2,2,40,1,2
"378",1,2,2,2,2,3,4,2,1982,35,2,9,18,40,1,1
"379",1,2,2,2,3,2,3,1,1956,61,2,7,12,40,1,2
"380",1,2,2,2,3,2,3,2,1953,64,4,7,12,40,1,2
"381",1,2,2,2,3,3,2,1,1989,28,1,7,12,40,3,2
"382",1,8,2,2,3,2,3,2,1978,39,2,7,12,40,1,2
"383",1,8,2,2,3,3,2,1,1950,67,2,3,6,40,3,2
"384",1,8,2,2,3,3,3,2,1982,35,2,7,12,40,1,2
"385",1,2,2,2,3,4,3,1,1997,20,1,7,12,40,1,2
"386",1,2,2,2,3,3,3,2,1979,38,4,7,12,40,1,2
"387",1,8,2,1,2,3,3,1,1973,44,2,7,12,40,6,3
"388",1,2,2,2,4,3,3,2,1966,51,2,7,12,40,1,1
"389",1,1,1,1,2,3,2,1,1990,27,2,7,12,40,1,2
"390",1,2,2,2,3,3,2,2,1959,58,2,5,9,40,1,2
"391",1,2,2,1,3,2,2,1,1982,35,2,3,6,40,1,1
"392",1,2,2,2,3,1,3,2,1973,44,2,3,6,40,1,2
"393",1,1,2,2,2,1,3,1,1982,35,2,5,9,40,1,3
"394",1,2,2,2,4,2,3,2,1981,36,2,2,3,40,1,2
"395",1,1,1,1,2,1,3,1,1973,44,2,3,6,40,3,3
"396",1,2,2,2,3,2,3,2,1982,35,2,5,9,40,1,1
"397",1,2,2,2,4,1,2,1,1995,22,2,5,9,40,3,3
"398",1,2,2,2,3,2,3,2,1982,35,2,3,6,40,1,2
"399",1,2,1,1,3,3,3,1,1973,44,2,6,11,40,1,1
"400",1,2,2,2,3,1,3,2,1978,39,2,2,4,40,1,2
"401",1,2,2,2,3,2,1,1,1977,40,2,2,5,40,1,3
"402",1,2,2,2,8,2,8,2,1988,29,2,3,6,40,1,2
"403",1,1,2,2,4,2,2,1,1984,33,2,3,6,40,1,2
"404",2,2,2,2,4,2,2,2,1998,19,2,3,6,40,1,2
"405",1,1,2,2,3,2,3,1,1971,46,2,2,5,40,1,2
"406",1,2,2,2,8,2,2,2,1970,47,2,1,-1,40,1,2
"407",1,2,2,1,3,2,3,1,1982,35,2,5,9,40,1,2
"408",1,1,2,2,4,3,3,2,1987,30,2,3,6,40,1,2
"409",1,2,2,2,9,2,8,1,1976,41,2,2,2,40,1,2
"410",1,2,2,2,8,2,3,2,1976,41,2,2,1,40,1,2
"411",1,2,2,2,4,2,2,1,1957,60,2,3,6,40,1,1
"412",1,2,1,2,2,2,3,2,1990,27,2,8,15,40,1,2
"413",1,2,1,2,4,3,3,1,1967,50,2,7,12,40,1,1
"414",1,1,1,1,2,2,3,2,1965,52,2,7,12,40,1,1
"415",1,2,2,2,3,8,2,1,1992,25,1,2,5,40,3,3
"416",1,2,2,2,3,2,2,2,1991,26,4,7,12,40,1,2
"417",1,2,2,2,2,2,3,1,1990,27,1,9,16,40,3,3
"418",1,2,1,2,4,3,3,2,1978,39,2,9,18,40,1,1
"419",1,1,2,2,4,2,8,1,1955,62,2,6,12,40,1,1
"420",1,2,2,2,2,2,3,2,1996,21,1,8,14,40,1,1
"421",1,1,2,2,3,2,2,1,1963,54,2,3,6,40,1,2
"422",1,2,2,2,8,2,2,2,1958,59,2,2,3,40,1,1
"423",1,1,0,1,3,1,4,1,1976,41,2,7,12,40,1,2
"424",1,2,2,2,4,2,1,2,1967,50,2,2,4,40,1,1
"425",2,2,2,1,3,2,2,1,1997,20,1,7,12,40,1,1
"426",1,2,2,2,3,1,3,2,1994,23,1,7,12,40,1,3
"427",1,2,2,2,3,2,3,1,1969,48,2,3,6,40,1,2
"428",1,2,2,2,3,2,2,2,1974,43,2,3,6,40,1,2
"429",1,1,2,1,3,2,2,1,1990,27,2,5,9,40,1,1
"430",1,2,2,2,4,3,3,2,1965,52,2,3,6,40,1,2
"431",1,2,2,2,3,1,2,1,1983,34,2,9,15,40,1,2
"432",2,2,2,2,3,1,3,2,1997,20,1,5,12,40,3,3
"433",1,2,2,2,2,3,3,1,1965,52,2,2,3,40,1,1
"434",2,2,2,2,3,1,3,2,1975,42,2,3,6,40,1,2
"435",1,8,2,2,2,2,3,1,1975,42,2,5,9,40,1,1
"436",1,2,2,2,1,1,2,2,1995,22,2,5,9,40,1,1
"437",1,1,1,1,1,2,3,1,1963,54,2,7,13,40,1,1
"438",1,2,2,2,3,1,2,2,1990,27,2,5,9,40,1,2
"439",2,2,2,2,3,2,3,1,1961,56,2,7,13,20,3,2
"440",1,2,2,2,3,1,3,2,1941,76,4,2,4,20,3,1
"441",1,2,2,2,4,3,3,1,1980,37,2,7,12,60,1,1
"442",1,2,2,2,2,2,3,2,1950,67,4,5,9,40,1,1
"443",1,2,2,2,4,2,8,1,1970,47,2,5,9,80,1,1
